periodo,trimestre,entidad_federativa,sexo,poblacion_economicamente_activa,poblacion_edad_trabajar,tasa_neta_participacion
2005,1,Nacional,Hombres,26989423.0,33625523.0,80.26469358
2005,1,Nacional,Mujeres,15116913.0,37840807.0,39.9487067
2005,1,Aguascalientes,Hombres,250401.0,321540.0,77.87553648
2005,1,Aguascalientes,Mujeres,147006.0,372658.0,39.4479657
2005,1,Baja California,Hombres,753603.0,960948.0,78.42286992
2005,1,Baja California,Mujeres,396124.0,995814.0,39.77891454
2005,1,Baja California Sur,Hombres,145145.0,180005.0,80.63387128
2005,1,Baja California Sur,Mujeres,75692.0,180833.0,41.85740435
2005,1,Campeche,Hombres,208429.0,248955.0,83.7215561
2005,1,Campeche,Mujeres,110898.0,262813.0,42.19654279
2005,1,Coahuila,Hombres,650857.0,836452.0,77.81163773
2005,1,Coahuila,Mujeres,343322.0,903253.0,38.00950564
2005,1,Colima,Hombres,162844.0,201883.0,80.66256198
2005,1,Colima,Mujeres,101797.0,221019.0,46.05803121
2005,1,Chiapas,Hombres,1104948.0,1281300.0,86.23647858
2005,1,Chiapas,Mujeres,419596.0,1409548.0,29.76812425
2005,1,Chihuahua,Hombres,844241.0,1089563.0,77.48436759
2005,1,Chihuahua,Mujeres,396054.0,1177652.0,33.63081793
2005,1,Ciudad de México,Hombres,2365719.0,3112263.0,76.01282411
2005,1,Ciudad de México,Mujeres,1600760.0,3563503.0,44.92096681
2005,1,Durango,Hombres,389336.0,488724.0,79.66377751
2005,1,Durango,Mujeres,185998.0,546151.0,34.05614931
2005,1,Guanajuato,Hombres,1203373.0,1496331.0,80.42157785
2005,1,Guanajuato,Mujeres,722628.0,1798636.0,40.17644482
2005,1,Guerrero,Hombres,696309.0,943666.0,73.78765368
2005,1,Guerrero,Mujeres,379064.0,1063983.0,35.62688502
2005,1,Hidalgo,Hombres,618492.0,753453.0,82.08766837
2005,1,Hidalgo,Mujeres,354939.0,870174.0,40.78942832
2005,1,Jalisco,Hombres,1781391.0,2173544.0,81.95789917
2005,1,Jalisco,Mujeres,1141201.0,2469058.0,46.2200969
2005,1,México,Hombres,3752344.0,4625160.0,81.12895554
2005,1,México,Mujeres,2042596.0,5107868.0,39.9892088
2005,1,Michoacán,Hombres,1007429.0,1241494.0,81.14650574
