inicio_vigencia,zona_salarial,salario_minimo_general,albanileria,archivista,boticas,buldozer,cajero,cajista,cantinero,carpintero_obra,carpintero_muebles,cepilladora,cocinero,colchones,mosaico,contador,yesero,fierrero,cortador_calzado,costurero_taller,costurero_domicilio,chofer_acomodador,chofer_camion,chofer_camioneta,chofer_grua,draga,ebanista,electricista_instalaciones,electricista_autos,electricista_motores,gondola,bodega,enfermero_auxiliar,ferreterias,fogonero,gasolinero,herreria,hojalateria,hornero,jornalero,joyero_oficial,joyero_domicilio,laboratorios,linotipista,lubricador,maestro,manejador,maquinaria_agricola,maquina_fundicion,maquina_troquelado,maquina_madera,maquina_plastico,mecanico_fresador,mecanico_rectificadora,mecanico_autos,mecanico_tornero,moldero,montador_calzado,niquelado,peinador,perforista,pintor_autos,pintor_casas,planchador,plomero,prensa_offset,prensista,radiotecnico_electrico,recamarero,recepcionista,refaccionaria_autos,reparador_hogar,reportero,reportero_grafico,repostero,sastreria_domicilio,secretaria,soldador_soplete,talabartero,tablajero,tapicero_autos,tapicero_muebles,trabajador_hogar,trabajador_social,vaquero,velador,vendedor_piso,zapatero
2009-01-01,a,54.8,79.87,76.35,69.5,84.13,70.84,75.41,72.49,74.47,78.4,75.76,81.04,73.3,78.05,76.93,73.89,76.93,71.72,70.73,72.84,74.47,81.73,79.15,75.76,85.01,79.68,78.05,78.92,75.76,69.27,72.08,74.47,73.71,76.35,70.73,76.93,78.4,80.32,,74.47,77.58,73.3,82.8,71.37,84.42,68.39,80.32,72.49,72.08,76.35,70.73,80.45,77.58,82.8,77.58,75.76,71.72,75.41,74.47,78.92,76.93,76.35,70.84,76.51,79.87,74.47,79.68,69.27,71.37,72.08,75.41,164.18,164.18,79.87,80.32,82.64,78.92,74.47,74.47,75.76,75.76,,90.34,69.27,70.73,72.84,71.72
2009-01-01,b,53.26,77.81,74.29,67.65,81.74,69.11,73.52,70.53,72.47,76.23,73.93,78.93,71.41,76.1,74.93,72.11,76.93,69.94,68.7,70.99,72.47,79.63,77.04,73.93,82.86,77.57,76.1,76.81,73.93,67.47,70.17,72.47,71.58,74.29,66.7,74.93,76.23,78.34,,72.47,75.7,71.41,80.8,69.48,82.27,66.7,78.34,70.53,70.17,74.29,68.7,78.57,75.7,80.8,75.7,73.93,69.94,73.52,72.47,76.81,74.93,74.29,69.11,74.64,77.81,72.47,77.57,67.47,69.48,70.17,73.52,160.03,160.03,77.81,78.34,80.32,76.81,72.47,72.47,73.93,73.93,,87.84,67.47,68.7,70.99,69.94
2009-01-01,c,51.95,75.71,72.24,65.94,79.61,67.35,71.42,68.7,70.46,74.19,71.88,76.72,69.63,74.01,72.82,70.06,72.82,68.11,67.17,68.99,70.46,77.55,74.89,71.88,80.5,75.42,74.01,74.66,71.88,65.34,68.34,70.46,69.77,72.24,67.17,72.82,74.19,76.25,,70.46,73.6,69.63,78.67,67.51,79.91,64.92,76.25,68.7,68.34,72.24,67.17,76.37,73.6,78.67,73.6,71.88,68.11,71.42,70.46,74.66,72.82,72.24,67.35,72.53,75.71,70.46,75.42,65.34,67.51,68.34,71.42,155.38,155.38,75.71,76.25,78.34,74.66,70.46,70.46,71.88,71.88,,85.56,65.34,67.17,68.99,68.11
2010-01-01,a,57.46,83.74,,72.87,88.21,74.28,79.07,76.01,,82.2,,84.97,76.86,81.84,,77.47,,75.2,74.16,76.37,78.08,85.69,82.99,79.43,89.13,83.54,81.84,82.75,79.43,72.63,75.58,78.08,77.28,80.05,74.16,80.66,82.2,84.22,,78.08,81.34,,86.82,74.83,88.51,71.71,84.22,,,80.05,,,,86.82,81.34,79.43,75.2,79.07,78.08,82.75,80.66,80.05,74.28,80.22,83.74,78.08,83.54,72.63,74.83,75.58,79.07,172.14,172.14,83.74,84.22,86.65,82.75,78.08,78.08,79.43,79.43,,94.72,72.63,74.16,76.37,75.2
2010-01-01,b,55.84,81.58,,70.93,85.7,72.46,77.09,73.95,,79.93,,82.76,74.87,79.79,,75.61,,73.33,72.03,74.43,75.98,83.49,80.78,77.52,86.88,81.33,79.79,80.54,77.52,70.74,73.57,75.98,75.05,77.89,72.03,78.56,79.93,82.14,,75.98,79.37,,84.72,72.85,86.26,69.93,82.14,,,77.89,,,,84.72,79.37,77.52,73.33,77.09,75.98,80.54,78.56,77.89,72.46,78.26,81.58,75.98,81.33,70.74,72.85,73.57,77.09,167.79,167.79,81.58,82.14,84.22,80.54,75.98,75.98,77.52,77.52,,92.1,70.74,72.03,74.43,73.33
2010-01-01,c,54.47,79.38,,69.14,83.47,70.62,74.88,72.03,,77.79,,80.44,73.01,77.6,,73.46,,71.41,70.43,72.34,73.88,81.31,78.52,75.37,84.4,79.08,77.6,78.28,75.37,68.51,71.65,73.88,73.15,75.74,70.43,76.35,77.79,79.95,,73.88,77.17,,82.49,70.78,83.79,68.07,79.95,,,75.74,,,,82.49,77.17,75.37,71.41,74.88,73.88,78.28,76.35,75.74,70.62,76.05,79.38,73.88,79.08,68.51,70.78,71.65,74.88,162.92,162.92,79.38,79.95,82.14,78.28,73.88,73.88,75.37,75.37,,89.71,68.51,70.43,72.34,71.41
2011-01-01,a,59.82,87.17,,75.86,91.83,77.33,82.31,79.13,,85.57,,88.45,80.01,85.2,,80.65,,78.28,77.2,79.5,81.28,89.2,86.39,82.69,92.78,86.97,85.2,86.14,82.69,75.61,78.68,81.28,80.45,83.33,77.2,83.97,85.57,87.67,,81.28,84.67,,90.38,77.9,92.14,74.65,87.67,,,83.33,,,,90.38,84.67,82.69,78.28,82.31,81.28,86.14,83.97,83.33,77.33,83.51,87.17,81.28,86.97,75.61,,78.68,82.31,179.2,179.2,87.17,87.67,90.2,86.14,81.28,81.28,82.69,82.69,,98.6,75.61,77.2,79.5,78.28
2011-01-01,b,58.13,84.92,,73.84,89.21,75.43,80.25,76.98,,83.21,,86.15,77.94,83.06,,78.71,,76.34,74.98,77.48,79.1,86.91,84.09,80.7,90.44,84.66,83.06,83.84,80.7,73.64,76.59,79.1,78.13,81.08,74.98,81.78,83.21,85.51,,79.1,82.62,,88.19,75.84,89.8,72.8,85.51,,,81.08,,,,88.19,82.62,80.7,76.34,80.25,79.1,83.84,81.78,81.08,75.43,81.47,84.92,79.1,84.66,73.64,,76.59,80.25,174.67,174.67,84.92,85.51,87.67,83.84,79.1,79.1,80.7,80.7,,95.88,73.64,74.98,77.48,76.34
2011-01-01,c,56.7,82.63,,71.97,86.89,73.52,77.95,74.98,,80.98,,83.74,76.0,80.78,,76.47,,74.34,73.32,75.31,76.91,84.64,81.74,78.46,87.86,82.32,80.78,81.49,78.46,71.32,74.59,76.91,76.15,78.85,73.32,79.48,80.98,83.23,,76.91,80.33,,85.87,73.68,87.23,70.86,83.23,,,78.85,,,,85.87,80.33,78.46,74.34,77.95,76.91,81.49,79.48,78.85,73.52,79.17,82.63,76.91,82.32,71.32,,74.59,77.95,169.6,169.6,82.63,83.23,85.51,81.49,76.91,76.91,78.46,78.46,,93.39,71.32,73.32,75.31,74.34
2012-01-01,a,62.33,90.83,,79.05,95.69,80.58,85.77,82.45,,89.16,,91.16,83.37,88.78,,84.04,,81.57,80.44,82.84,84.69,92.95,90.02,86.16,96.68,90.62,88.78,89.76,86.16,78.79,81.98,84.69,83.83,86.83,80.34,87.5,89.16,,,84.69,88.23,,94.18,81.17,96.01,77.79,91.35,,,86.83,,,,94.18,88.23,86.16,81.57,85.77,84.69,89.76,87.5,86.83,80.58,87.02,90.83,84.69,90.62,78.79,,81.98,85.77,186.73,186.73,90.83,91.35,93.99,89.76,,84.69,86.16,86.16,,102.74,78.79,80.44,82.84,81.57
