periodo,trimestre,entidad_federativa,sexo,poblacion_desocupada_abierta,poblacion_economicamente_activa,tasa_desocupacion
2005,1,Nacional,Hombres,964855.0,26989423.0,3.574937486
2005,1,Nacional,Mujeres,654410.0,15116913.0,4.328992302
2005,1,Aguascalientes,Hombres,12442.0,250401.0,4.968829997
2005,1,Aguascalientes,Mujeres,5877.0,147006.0,3.997796008
2005,1,Baja California,Hombres,10798.0,753603.0,1.432849922
2005,1,Baja California,Mujeres,8992.0,396124.0,2.269996264
2005,1,Baja California Sur,Hombres,2864.0,145145.0,1.973199215
2005,1,Baja California Sur,Mujeres,2975.0,75692.0,3.930402156
2005,1,Campeche,Hombres,4815.0,208429.0,2.310139184
2005,1,Campeche,Mujeres,2997.0,110898.0,2.702483363
2005,1,Coahuila,Hombres,31227.0,650857.0,4.797828094
2005,1,Coahuila,Mujeres,18234.0,343322.0,5.311049103
2005,1,Colima,Hombres,5214.0,162844.0,3.201837341
2005,1,Colima,Mujeres,3031.0,101797.0,2.977494425
2005,1,Chiapas,Hombres,19247.0,1104948.0,1.741891926
2005,1,Chiapas,Mujeres,13119.0,419596.0,3.1265789
2005,1,Chihuahua,Hombres,27904.0,844241.0,3.305217349
2005,1,Chihuahua,Mujeres,14535.0,396054.0,3.669954097
2005,1,Ciudad de México,Hombres,119617.0,2365719.0,5.056264079
2005,1,Ciudad de México,Mujeres,100810.0,1600760.0,6.297633624
2005,1,Durango,Hombres,14858.0,389336.0,3.816240985
2005,1,Durango,Mujeres,8584.0,185998.0,4.615103388
2005,1,Guanajuato,Hombres,58547.0,1203373.0,4.865241284
2005,1,Guanajuato,Mujeres,29829.0,722628.0,4.127850014
2005,1,Guerrero,Hombres,11018.0,696309.0,1.582343471
2005,1,Guerrero,Mujeres,4446.0,379064.0,1.172889011
2005,1,Hidalgo,Hombres,16365.0,618492.0,2.645951767
2005,1,Hidalgo,Mujeres,14862.0,354939.0,4.187198364
2005,1,Jalisco,Hombres,68345.0,1781391.0,3.836608583
2005,1,Jalisco,Mujeres,40454.0,1141201.0,3.544861948
2005,1,México,Hombres,184057.0,3752344.0,4.905120639
2005,1,México,Mujeres,130415.0,2042596.0,6.384767228
2005,1,Michoacán,Hombres,19211.0,1007429.0,1.906933392
2005,1,Michoacán,Mujeres,16128.0,584447.0,2.75953166
2005,1,Morelos,Hombres,10015.0,404923.0,2.47330974
2005,1,Morelos,Mujeres,8634.0,276394.0,3.12380153
2005,1,Nayarit,Hombres,4818.0,267687.0,1.799863273
2005,1,Nayarit,Mujeres,5708.0,166655.0,3.425039753
2005,1,Nuevo León,Hombres,54593.0,1203509.0,4.536152202
2005,1,Nuevo León,Mujeres,45499.0,656770.0,6.927691582
2005,1,Oaxaca,Hombres,15064.0,848905.0,1.774521295
2005,1,Oaxaca,Mujeres,10499.0,529699.0,1.982069062
2005,1,Puebla,Hombres,41710.0,1352216.0,3.084566371
2005,1,Puebla,Mujeres,29607.0,827060.0,3.579788649
2005,1,Querétaro,Hombres,17679.0,386867.0,4.56978755
2005,1,Querétaro,Mujeres,7389.0,236879.0,3.11931408
2005,1,Quintana Roo,Hombres,5457.0,305925.0,1.783770532
2005,1,Quintana Roo,Mujeres,7142.0,176876.0,4.03785703
2005,1,San Luis Potosí,Hombres,17261.0,611798.0,2.821356069
2005,1,San Luis Potosí,Mujeres,12749.0,332404.0,3.835393076
2005,1,Sinaloa,Hombres,18727.0,763381.0,2.453165588
2005,1,Sinaloa,Mujeres,17206.0,408748.0,4.209439557
2005,1,Sonora,Hombres,24092.0,655337.0,3.676276481
2005,1,Sonora,Mujeres,11859.0,346777.0,3.419776975
2005,1,Tabasco,Hombres,19548.0,536995.0,3.640257358
2005,1,Tabasco,Mujeres,7536.0,210829.0,3.574460819
2005,1,Tamaulipas,Hombres,34971.0,809651.0,4.319268426
2005,1,Tamaulipas,Mujeres,30381.0,458499.0,6.626186753
2005,1,Tlaxcala,Hombres,10227.0,265006.0,3.859157906
2005,1,Tlaxcala,Mujeres,5525.0,139263.0,3.967313644
2005,1,Veracruz,Hombres,61254.0,1821945.0,3.362011477
2005,1,Veracruz,Mujeres,26809.0,900242.0,2.977977033
2005,1,Yucatán,Hombres,12738.0,488530.0,2.607414079
2005,1,Yucatán,Mujeres,7651.0,286377.0,2.671653101
