periodo,trimestre,entidad_federativa,sexo,poblacion_ocupada,poblacion_edad_trabajar,tasa_neta_ocupacion
2005,1,Nacional,Hombres,26024568.0,33625523.0,77.39528096
2005,1,Nacional,Mujeres,14462503.0,37840807.0,38.21933026
2005,1,Aguascalientes,Hombres,237959.0,321540.0,74.00603346
2005,1,Aguascalientes,Mujeres,141129.0,372658.0,37.8709165
2005,1,Baja California,Hombres,742805.0,960948.0,77.29918789
2005,1,Baja California,Mujeres,387132.0,995814.0,38.87593466
2005,1,Baja California Sur,Hombres,142281.0,180005.0,79.04280437
2005,1,Baja California Sur,Mujeres,72717.0,180833.0,40.21224002
2005,1,Campeche,Hombres,203614.0,248955.0,81.78747163
2005,1,Campeche,Mujeres,107901.0,262813.0,41.05618824
2005,1,Coahuila,Hombres,619630.0,836452.0,74.07836911
2005,1,Coahuila,Mujeres,325088.0,903253.0,35.99080213
2005,1,Colima,Hombres,157630.0,201883.0,78.07987795
2005,1,Colima,Mujeres,98766.0,221019.0,44.6866559
2005,1,Chiapas,Hombres,1085701.0,1281300.0,84.73433232
2005,1,Chiapas,Mujeres,406477.0,1409548.0,28.83740036
2005,1,Chihuahua,Hombres,816337.0,1089563.0,74.92334083
2005,1,Chihuahua,Mujeres,381519.0,1177652.0,32.39658235
2005,1,Ciudad de México,Hombres,2246102.0,3112263.0,72.16941499
2005,1,Ciudad de México,Mujeres,1499950.0,3563503.0,42.0920089
2005,1,Durango,Hombres,374478.0,488724.0,76.62361578
2005,1,Durango,Mujeres,177414.0,546151.0,32.48442281
2005,1,Guanajuato,Hombres,1144826.0,1496331.0,76.50887404
2005,1,Guanajuato,Mujeres,692799.0,1798636.0,38.51802143
2005,1,Guerrero,Hombres,685291.0,943666.0,72.62007956
2005,1,Guerrero,Mujeres,374618.0,1063983.0,35.2090212
2005,1,Hidalgo,Hombres,602127.0,753453.0,79.91566826
2005,1,Hidalgo,Mujeres,340077.0,870174.0,39.08149405
2005,1,Jalisco,Hombres,1713046.0,2173544.0,78.81349538
2005,1,Jalisco,Mujeres,1100747.0,2469058.0,44.58165827
2005,1,México,Hombres,3568287.0,4625160.0,77.1494824
2005,1,México,Mujeres,1912181.0,5107868.0,37.43599091
2005,1,Michoacán,Hombres,988218.0,1241494.0,79.59909593
2005,1,Michoacán,Mujeres,568319.0,1519251.0,37.4078411
2005,1,Morelos,Hombres,394908.0,525540.0,75.1432812
2005,1,Morelos,Mujeres,267760.0,623773.0,42.92587207
2005,1,Nayarit,Hombres,262869.0,324103.0,81.10662351
2005,1,Nayarit,Mujeres,160947.0,360714.0,44.61900564
2005,1,Nuevo León,Hombres,1148916.0,1478220.0,77.72293705
2005,1,Nuevo León,Mujeres,611271.0,1525179.0,40.07863995
2005,1,Oaxaca,Hombres,833841.0,1053921.0,79.11797943
2005,1,Oaxaca,Mujeres,519200.0,1298856.0,39.97363834
2005,1,Puebla,Hombres,1310506.0,1648052.0,79.51848607
2005,1,Puebla,Mujeres,797453.0,1936186.0,41.18679714
2005,1,Querétaro,Hombres,369188.0,488810.0,75.52791473
2005,1,Querétaro,Mujeres,229490.0,567598.0,40.43178447
2005,1,Quintana Roo,Hombres,300468.0,357250.0,84.10580826
2005,1,Quintana Roo,Mujeres,169734.0,370031.0,45.87021087
2005,1,San Luis Potosí,Hombres,594537.0,743049.0,80.01316199
2005,1,San Luis Potosí,Mujeres,319655.0,848995.0,37.65098734
2005,1,Sinaloa,Hombres,744654.0,906420.0,82.15330641
2005,1,Sinaloa,Mujeres,391542.0,910178.0,43.01817886
2005,1,Sonora,Hombres,631245.0,824743.0,76.53838832
2005,1,Sonora,Mujeres,334918.0,865277.0,38.70644892
2005,1,Tabasco,Hombres,517447.0,663126.0,78.03147516
2005,1,Tabasco,Mujeres,203293.0,735337.0,27.64623567
2005,1,Tamaulipas,Hombres,774680.0,1009872.0,76.71071185
2005,1,Tamaulipas,Mujeres,428118.0,1086149.0,39.41613904
2005,1,Tlaxcala,Hombres,254779.0,333339.0,76.43240065
2005,1,Tlaxcala,Mujeres,133738.0,378145.0,35.36685663
2005,1,Veracruz,Hombres,1760691.0,2277322.0,77.31409963
2005,1,Veracruz,Mujeres,873433.0,2716290.0,32.15536633
