periodo,trimestre,entidad_federativa,sexo,poblacion_ocupada_asalariada,poblacion_ocupada,tasa_trabajo_asalariado
2005,1,Nacional,Hombres,15085947.0,26024568.0,57.96809768
2005,1,Nacional,Mujeres,8765962.0,14462503.0,60.61165208
2005,1,Aguascalientes,Hombres,166529.0,237959.0,69.98222383
2005,1,Aguascalientes,Mujeres,101015.0,141129.0,71.57635922
2005,1,Baja California,Hombres,463156.0,742805.0,62.35229973
2005,1,Baja California,Mujeres,291539.0,387132.0,75.30738869
2005,1,Baja California Sur,Hombres,91376.0,142281.0,64.22220817
2005,1,Baja California Sur,Mujeres,52836.0,72717.0,72.65976319
2005,1,Campeche,Hombres,112646.0,203614.0,55.32330783
2005,1,Campeche,Mujeres,60906.0,107901.0,56.44618678
2005,1,Coahuila,Hombres,434511.0,619630.0,70.12426771
2005,1,Coahuila,Mujeres,230925.0,325088.0,71.03461217
2005,1,Colima,Hombres,95259.0,157630.0,60.43202436
2005,1,Colima,Mujeres,64805.0,98766.0,65.61468522
2005,1,Chiapas,Hombres,429107.0,1085701.0,39.5234968
2005,1,Chiapas,Mujeres,180092.0,406477.0,44.30558187
2005,1,Chihuahua,Hombres,481492.0,816337.0,58.98201356
2005,1,Chihuahua,Mujeres,293013.0,381519.0,76.8016796
2005,1,Ciudad de México,Hombres,1427877.0,2246102.0,63.5713338
2005,1,Ciudad de México,Mujeres,1062048.0,1499950.0,70.80556019
2005,1,Durango,Hombres,210280.0,374478.0,56.15283141
2005,1,Durango,Mujeres,113474.0,177414.0,63.96000316
2005,1,Guanajuato,Hombres,683802.0,1144826.0,59.72977553
2005,1,Guanajuato,Mujeres,386814.0,692799.0,55.83351015
2005,1,Guerrero,Hombres,283411.0,685291.0,41.35629973
2005,1,Guerrero,Mujeres,159964.0,374618.0,42.70056431
2005,1,Hidalgo,Hombres,287330.0,602127.0,47.71916888
2005,1,Hidalgo,Mujeres,177929.0,340077.0,52.32020983
2005,1,Jalisco,Hombres,999124.0,1713046.0,58.3244116
2005,1,Jalisco,Mujeres,674235.0,1100747.0,61.2524949
2005,1,México,Hombres,2313145.0,3568287.0,64.82508274
2005,1,México,Mujeres,1230454.0,1912181.0,64.34819716
2005,1,Michoacán,Hombres,496184.0,988218.0,50.20997391
2005,1,Michoacán,Mujeres,264904.0,568319.0,46.61185003
2005,1,Morelos,Hombres,232894.0,394908.0,58.9742421
2005,1,Morelos,Mujeres,160922.0,267760.0,60.09934269
2005,1,Nayarit,Hombres,132022.0,262869.0,50.22349535
2005,1,Nayarit,Mujeres,87893.0,160947.0,54.60990264
2005,1,Nuevo León,Hombres,836299.0,1148916.0,72.79026491
2005,1,Nuevo León,Mujeres,452796.0,611271.0,74.07451032
2005,1,Oaxaca,Hombres,301258.0,833841.0,36.12895024
2005,1,Oaxaca,Mujeres,169975.0,519200.0,32.73786595
2005,1,Puebla,Hombres,720480.0,1310506.0,54.9772378
2005,1,Puebla,Mujeres,399666.0,797453.0,50.11781259
2005,1,Querétaro,Hombres,226869.0,369188.0,61.45080555
2005,1,Querétaro,Mujeres,156923.0,229490.0,68.37901434
2005,1,Quintana Roo,Hombres,183609.0,300468.0,61.10767203
2005,1,Quintana Roo,Mujeres,108085.0,169734.0,63.67905075
2005,1,San Luis Potosí,Hombres,311221.0,594537.0,52.34678414
2005,1,San Luis Potosí,Mujeres,186919.0,319655.0,58.47523111
2005,1,Sinaloa,Hombres,409016.0,744654.0,54.92698622
2005,1,Sinaloa,Mujeres,234731.0,391542.0,59.95040123
2005,1,Sonora,Hombres,397789.0,631245.0,63.01657835
2005,1,Sonora,Mujeres,230204.0,334918.0,68.73443649
2005,1,Tabasco,Hombres,324795.0,517447.0,62.76874733
2005,1,Tabasco,Mujeres,126930.0,203293.0,62.4369752
2005,1,Tamaulipas,Hombres,477680.0,774680.0,61.6615893
2005,1,Tamaulipas,Mujeres,293496.0,428118.0,68.55493112
2005,1,Tlaxcala,Hombres,153828.0,254779.0,60.37703264
2005,1,Tlaxcala,Mujeres,80168.0,133738.0,59.94406975
2005,1,Veracruz,Hombres,960458.0,1760691.0,54.55006018
2005,1,Veracruz,Mujeres,481713.0,873433.0,55.15168307
2005,1,Yucatán,Hombres,279991.0,475792.0,58.84735347
2005,1,Yucatán,Mujeres,161376.0,278726.0,57.89772034
2005,1,Zacatecas,Hombres,162509.0,321715.0,50.51334255
2005,1,Zacatecas,Mujeres,89212.0,156391.0,57.04420331
2005,2,Nacional,Hombres,14932039.0,25828444.0,57.81238312
2005,2,Nacional,Mujeres,8916302.0,14924540.0,59.74255823
2005,2,Aguascalientes,Hombres,168361.0,242206.0,69.51149022
2005,2,Aguascalientes,Mujeres,107049.0,145474.0,73.58634533
2005,2,Baja California,Hombres,454657.0,733123.0,62.01646927
2005,2,Baja California,Mujeres,290652.0,398098.0,73.01016333
2005,2,Baja California Sur,Hombres,97117.0,143845.0,67.51503354
2005,2,Baja California Sur,Mujeres,55831.0,75875.0,73.58286656
2005,2,Campeche,Hombres,115492.0,208507.0,55.38998691
2005,2,Campeche,Mujeres,65033.0,112242.0,57.93998681
2005,2,Coahuila,Hombres,445027.0,625521.0,71.14501352
2005,2,Coahuila,Mujeres,241102.0,335728.0,71.81468332
2005,2,Colima,Hombres,93426.0,158067.0,59.1053161
2005,2,Colima,Mujeres,63914.0,102899.0,62.11333443
